skill_no,grammar_skills,skill_description,skill_examples
11,"Plural Nouns: regular (-s, -es) ","A noun is a word that names a person (teacher, child), place (city, park), animal (dog, cat), or thing (book, chair).
In English, nouns can be singular (only one) or plural (more than one).
Singular means one: a cat, one child, my friend.
Plural means more than one: two cats, many children, our friends.
To make nouns plural, we usually change their form. Most nouns simply add -s, but some require -es or change in special ways. A few words do not change at all. Learning plural nouns is very important because we use them all the time when talking about daily life — our families, things we own, food we eat, or people we meet.

1. Regular Plurals with -s

For most nouns, we simply add -s to make the plural.
book → books
car → cars
dog → dogs
pen → pens
This is the most common way to form plurals in English.

2. Plurals ending with -es

If a noun ends in a sound that is hard to pronounce with just -s, we add -es.
This usually happens when the word ends in: -s, -sh, -ch, -x, -o.

bus → buses
dish → dishes
watch → watches
box → boxes
potato → potatoes

3. Nouns ending in consonant + y

If the noun ends with a consonant + y, we change y → i and add -es.

baby → babies
city → cities

But if the word ends in vowel + y, just add -s.

boy → boys
toy → toys

4. Irregular Plurals

Some words change completely in the plural. These do not follow a rule, so you must remember them.

man → men
woman → women
child → children
person → people
tooth → teeth
foot → feet

mouse → mice","1. I have two books. 
2. There are three buses.
3. The dogs are playing in the park."
12,"Plural Nouns: common irregulars (people, children)","A noun is a word that names a person (teacher, child), place (city, park), animal (dog, cat), or thing (book, chair).
In English, nouns can be singular (only one) or plural (more than one).
Singular means one: a cat, one child, my friend.
Plural means more than one: two cats, many children, our friends.
To make nouns plural, we usually change their form. Most nouns simply add -s, but some require -es or change in special ways. A few words do not change at all. Learning plural nouns is very important because we use them all the time when talking about daily life — our families, things we own, food we eat, or people we meet.

1. Regular Plurals with -s

For most nouns, we simply add -s to make the plural.
book → books
car → cars
dog → dogs
pen → pens
This is the most common way to form plurals in English.

2. Plurals ending with -es

If a noun ends in a sound that is hard to pronounce with just -s, we add -es.
This usually happens when the word ends in: -s, -sh, -ch, -x, -o.

bus → buses
dish → dishes
watch → watches
box → boxes
potato → potatoes

3. Nouns ending in consonant + y

If the noun ends with a consonant + y, we change y → i and add -es.

baby → babies
city → cities

But if the word ends in vowel + y, just add -s.

boy → boys
toy → toys

4. Irregular Plurals

Some words change completely in the plural. These do not follow a rule, so you must remember them.

man → men
woman → women
child → children
person → people
tooth → teeth
foot → feet

mouse → mice","1. There are many children in the park.
2. The farmer has three sheep in the field.
3. I saw two men near the shop.
4. Those women are teachers.
5. The mice are eating cheese"
13,"Demonstratives: this, that, these, those","Definition:
Demonstratives are words we use to point to things or people. They show if something is near or far and if it is singular (one) or plural (more than one).

There are four demonstratives in English:

This – singular, something near us
That – singular, something far from us
These – plural, things near us
Those – plural, things far from us

Why this is important?

Demonstratives help us to show exactly what we are talking about. They make our meaning clear when there are many objects or people.","1. This pen is blue.
2. That car is very old.
3. These apples are sweet.
4. Those books are on the table."
14,Past Simple: regular verbs (-ed),"The Past Simple with regular verbs is used to talk about finished actions in the past. To make the past form of regular verbs, we usually add -ed to the verb.

How to form it

Positive statements:
Subject + verb-ed

I played football yesterday.
She worked in an office last year.

Negative statements:
Subject + did not (didn’t) + base verb

I didn’t play football yesterday.
They didn’t watch TV.

Questions:
Did + subject + base verb
Did you play football?
Did she watch the movie?","1. I watched TV last night.
2. He studied English yesterday.
3. They visited Delhi last year."
15,"Past Simple: common irregular verbs (went, saw, got)","The Past Simple is used to talk about finished actions in the past.
With irregular verbs, we do not add -ed. Instead, the verb changes form.
For example:

go → went
see → saw
get → got

How to form it:

Positive statements:
Subject + irregular past form

I went to the park yesterday.
She saw her friend last night.

Negative statements:
Subject + did not (didn’t) + base verb

I didn’t go to the park yesterday.
They didn’t see the movie.

Questions:
Did + subject + base verb

Did you go to the park?
Did he get a new phone?","1. We went shopping last Saturday.
2. He saw a rainbow in the morning.
3. I got a new book yesterday."
16,Past Simple (negatives): didn't,"We use the Past Simple negative to say that something did not happen in the past.
We use did not (didn’t) + the base form of the verb (not the past form).

How to form it:

Subject + didn’t + base verb

I didn’t go to school yesterday.
She didn’t watch TV last night.

Note: After didn’t, the verb is always in the base form (go, watch, play), not the past form.

When do we use it?
To say an action did not happen in the past.
To talk about what was not true before.","1. I didn’t eat breakfast this morning.
2. They didn’t play football yesterday.
3. She didn’t see her friend at the party."
17,Past Simple (questions): Did you...?,"Definition:
We use Did to ask questions about actions or events in the past.
The main verb always stays in the base form (not past).

Structure:

Did + subject + base verb + ... ?
Did you go to school yesterday?
Did she play football last week?

Note: The verb after Did does not change to past form.

When do we use it?

To ask about something that happened in the past.
- Did he watch the movie yesterday?
To ask about someone’s experience or action.
- Did they travel last summer?
To ask for yes/no answers or details.","1. Did you eat breakfast today?
2. Did they play cricket yesterday?
3. Did he see his friend at the park?"
18,"Pronouns (Subject): I, you, he, she, it, we, they","Subject pronouns are words we use instead of a noun to show who is doing the action in a sentence. They are the subject of the sentence.

List of Subject Pronouns

I → when you talk about yourself
You → when you talk to someone
He → for a man or boy
She → for a woman or girl
It → for an animal or a thing
We → when you talk about yourself and others
They → for two or more people or things

When do we use them?
At the start of a sentence before a verb.
To say who does the action.","1. I am a student.
2. You are my friend.
3. He is a teacher.
4. She is my sister.
5. It is a small cat.
6. We are friends.
7. They are in the park."
19,There is / There are,"We use there is and there are to say that something exists or is present in a place.

There is → for one thing (singular).
There are → for more than one thing (plural).

Structure:

There is + singular noun
Example: There is a book on the table.

There are + plural noun
Example: There are two books on the table.

When do we use it?

To talk about things we can see or find.

There is a dog in the garden.
There are many stars in the sky.
To describe a place or a situation.
There is a park near my house.
There are some shops in the city.","1. There is a pen on the desk.
2. There is a cat in the garden.
3. There are three people in the room."
20,"Pronouns (Object): me, you, him, her, it, us, them","Object pronouns are words we use instead of a noun as the object of a verb or preposition. They show who receives the action.

List of Object Pronouns

me → for yourself (object)
you → for the person you talk to
him → for a man or boy
her → for a woman or girl
it → for an animal or thing
us → for you and others
them → for two or more people or things

When do we use them?

After a verb (I like him).
After a preposition (with me, for her).","1. She likes me.
2. I know you.
3. We see him every day."
21,Countable Nouns (basic): a book ,"Nouns can be countable or uncountable.

Countable nouns are things we can count (one, two, three…).

Uncountable nouns are things we cannot count in pieces, like liquids, materials, or abstract ideas.

Countable Nouns:

- Have singular and plural forms.
- Use a/an for one thing.
- Use numbers and many.

Uncountable Nouns

- Do NOT have plural forms.
- We do not use a/an with them.
-Use some, much, or measure words (a glass of, a piece of).","1.I have a book on the table. 
2.She eats two bananas every day. 
3. There are two chairs in the room. "
22,Uncountable Nouns (basic): some water,"Nouns can be countable or uncountable.

Countable nouns are things we can count (one, two, three…).

Uncountable nouns are things we cannot count in pieces, like liquids, materials, or abstract ideas.

Countable Nouns:

- Have singular and plural forms.
- Use a/an for one thing.
- Use numbers and many.

Uncountable Nouns

- Do NOT have plural forms.
- We do not use a/an with them.
-Use some, much, or measure words (a glass of, a piece of).","1.I need some water.
2. She bought some rice.
3. There is some milk in the fridge."
23,"Adjectives (basic): big, small, happy, sad","Adjectives are words that describe nouns (people, things, places, animals). They give us more information about how something or someone is.

How to Use Them-

Adjectives usually come before a noun:

a big house
a small bag

Adjectives can also come after the verb “to be” (am/is/are):

The house is big.
She is happy.

Common Basic Adjectives:

big – not small
small – not big
happy – feeling good
sad – not happy","1. This is a big dog.
2. That is a small room.
3. The city is big and beautiful.
4. She is happy with her new bag.
5. We are sad because it is raining."
24,"Conjunctions: and, but, or","Conjunctions are words that join two or more words, phrases, or sentences together to make one complete idea. They help us connect similar ideas, show differences, or give choices.

Common Conjunctions at A1 level:

And – to add information.

Example: I like tea and coffee.

But – to show contrast (different ideas)

Example: I like tea, but I don’t like coffee.

or – to show a choice

Example: Do you want tea or coffee?","1. I have a pen and a pencil.
2. She is tall, but he is short.
3. Do you want pizza or pasta?"
25,"Prepositions of Place: in, on, at, under","Prepositions of place are words that tell us where something or someone is. They show the position of a person or thing in relation to another object or place.

Common Prepositions of Place:

in – inside something
on – on the surface of something
at – at a specific point or place
under – below something","1. The cat is in the box.
2. The keys are on the desk.
3. He is at the door.
4. My shoes are under the bed."
26,"Prepositions of Time: in (the morning), on (Monday), at (night)","Prepositions of time are words that tell us when something happens. They show the time of an action or event.

Common Prepositions of Time:

in – for months, years, seasons, and parts of the day
on – for days and dates
at – for exact times and some special phrases

How to Use Them:
in → months (in July), years (in 2025), parts of the day (in the afternoon)
on → days (on Friday), dates (on 10 August)
at → exact time (at 5 p.m.), special times (at midnight, at night)","1. I go for a walk in the evening.
2. She was born in 2001.
3. We have a meeting on Tuesday.
4. They sleep early at night."
27,"Question Words: What, Where, When, Who","Question words help us ask for specific information. Each word has a different meaning:

What → asks about things or information.
Where → asks about a place.
When → asks about time.
Who → asks about a person.

How to Form Questions:

Question Word + (do/does/is/are) + subject + rest of the sentence?
Example: What is your name?

When to Use:

What → for objects, activities, or information (What is this?).
Where → for places (Where do you live?).
When → for time or dates (When is your birthday?).
Who → for people (Who is your best friend?).","1. What is your favorite color?
2. Where do you live?
3. When do you wake up?
4. Who lives in this house?"
28,Describing people and things (simple),"We use simple adjectives and basic structures to talk about what a person or thing looks like, their age, color, size, or other basic qualities.

Structure:

Subject + be (am/is/are) + adjective
Example: She is tall.

We can also use:
Subject + have/has + noun
Example: He has black hair.

Common Adjectives:

For size: big, small, tall, short
For appearance: beautiful, pretty, handsome
For age: young, old
For color: red, blue, black, green","1. She is tall and thin.
2. He is young and handsome.
3. They are short but strong."
29,Forming yes/no questions,"A Yes/No question is a question that can be answered with “Yes” or “No.”

How to Form Them:

The structure depends on the verb:

With verb “to be” (am/is/are):
Am/Is/Are + subject + complement?

With other verbs (Present Simple):
Do/Does + subject + verb?

With Past Simple:
Did + subject + verb?

Start the question with the helping verb (am/is/are, do/does, did).","1. Are you happy? 
2. Is he your brother? 
3. Do you play football? "
30,Present Continuous vs. Present Simple: differences in use,"Definition:

Present Simple is used for things that happen regularly, facts, and routines.
Present Continuous is used for things happening right now or around now.

How to form them:

Present Simple: Subject + base verb (+ s/es for he/she/it)
Present Continuous: Subject + am/is/are + verb + -ing

When to use:

Present Simple:

Things you do every day or often (habits).
Facts or things that are always true.

Present Continuous:

Things happening right now.
Temporary actions (for a short time).
","1. I read books every evening.
2. He works in an office.
3. I am reading a book now.
4. He is working on his computer right now."
31,Present Continuous for future arrangements,"Present Continuous can talk about plans or arrangements for the near future. These are things that are already decided or organized.
Form:
Subject + am/is/are + verb(-ing) + (future time)
Examples of time words: tonight, tomorrow, next week, on Friday.
We use the Present Continuous for:
Personal arrangements: meeting a friend, going on a trip
Social plans: dinner, parties, visits
","1. I am meeting my friend tomorrow.
2. She is visiting her grandparents next weekend.
3. We are having dinner at 8 p.m. tonight."
32,"Question Tags (basic): It's nice, isn't it?","A question tag is a short question at the end of a statement.
We use it to confirm information or ask for agreement.
 Structure:
If the statement is positive, the question tag is negative.
If the statement is negative, the question tag is positive.
Formula:
Statement + auxiliary verb + subject?
-Use the same auxiliary verb as in the statement.
-If there is no auxiliary, use do/does/did.
-Question tags are common in speaking to check information.
","1. It’s nice, isn’t it? 
2. You’re a teacher, aren’t you?
3. She isn’t tired, is she?"
33,"Prepositions of Movement: to, from, into, out of","Prepositions of movement show direction. They tell us where someone or something is going or coming from.These prepositions help us describe movement clearly, showing the direction and change of position.

- To: We use to when we show movement toward a place or person.
Example: She is going to the park.

- From: We use from when we show the starting point of movement.
Example: He is coming from school.
(To and from are often used together: I go to work from home.)

- Into: We use into when something moves from outside to inside a place.
Example: The cat jumped into the box.

- Out of: We use out of when something moves from inside to outside a place.
Example: She ran out of the room.","1. She walked to the bus stop.
2. He came from the airport.
3. The cat ran into the house.
4. They walked out of the classroom."
34,Countable nouns with a/an and some,"Countable nouns are things we can count as separate items. For example: book, apple, chair, idea. They can be singular (one item) or plural (more than one).
- When we talk about singular countable nouns, we usually use a or an.
'a' is used before words that begin with a consonant sound (e.g., a book, a dog).
'an' is used before words that begin with a vowel sound (a, e, i, o, u) or a silent h (e.g., an apple, an hour).

- When we talk about more than one, but not a specific number, we often use some with plural countable nouns. some means “a number of” or “a few.” It is used when the exact number is not important. For example: some books, some apples.

- We also use some in offers and requests:
Would you like some tea?
Can I have some pencils, please?","1. I need a new notebook for my English class.
2. She is eating an apple while waiting for the bus.
3. There are some chairs in the corner of the room."
